2021-09-10,Senate Democrats say a 2 percent tax on the money companies use to buy back stocks and tightened rules around taxing partnerships would raise $270 billion for their $3.5 trillion social policy bill.
2021-09-20,"The S&P 500 closed down 1.7 percent over a number of jitters, like China’s sputtering real estate market and the phasing out of stimulus measures in the United States."
2021-10-01,An economist says the three major U.S. markets all show signs of severe overpricing.
2021-09-19,"Plus, a tax plan is proposed and the government will weigh in on booster shots."
2021-09-14,"Gary Gensler, the Securities and Exchange Commission chair, will testify before the Senate Banking Committee on Tuesday, after five months on the job. Based on his prepared remarks, he’ll make the case for additional resources to achieve a more expansive agenda than many of his predecessors at the commission."
2021-09-10,Central bank regional presidents traded securities in markets in which Fed choices mattered in 2020. Here’s why critics find that troubling.
2021-09-21,"Experts are making increasingly grim predictions about the developer’s ability to hold on without a government bailout, and the consequences of a possible collapse."
2021-09-29,The eyewear retailer will go public in a direct listing that could value the company at about $5 billion.
2021-09-24,"The seizure of the top two leaders of HNA Group comes as speculation swirls over whether Beijing will bail out another troubled giant, Evergrande."
2021-09-25,"Some Black and Hispanic millennials are looking to alternatives like real estate or entrepreneurship, or to trading stock on their own."
2021-10-21,"The co-working company’s trading debut follows a failed I.P.O., a pandemic and more."
2021-10-21,The co-working operation is being absorbed into a special-purpose acquisition company. It must contend with new dynamics in commercial real estate.
2021-10-04,Inflation and supply chain problems have been a concern since the pandemic began. But action by the Federal Reserve and pressure on corporate profits put those worries in sharp focus.
2021-10-04,Oil prices rose as OPEC met.
2021-10-10,Facebook faced both an outage and a whistle-blower. Lawmakers reached a compromise on raising the debt ceiling. And the latest number on inflation is coming this week.
2021-10-22,"After weeks of fluctuations driven in part by Washington gridlock, share prices hit another high and put a dismal September in the rearview mirror."
2021-10-13,"After coasting higher over the summer, markets are jittery over rising prices, growth snarls and a number of other threats."
2021-10-24,The Fed unveiling sweeping changes to its ethics practices. The government approved more coronavirus vaccine booster shots and is set to decide on vaccines for children 5 to 11.
2021-10-19,"What a long-awaited report on trading in GameStop and other internet favorites says, and doesn’t say, about online-fueled stock-trading booms."
2021-10-26,"Inflation is as much a psychological process as an economic one. And a key indicator of inflation expectations has risen in recent days, which could ultimately lead to higher interest rates."
2021-11-13,"As an aspiring entrepreneur, you may have a good idea, but tread lightly before using retirement savings as capital."
2021-11-10,"Since Friday, Tesla has shed about $200 billion in market valuation."
2021-11-19,The suit was part of a proposed three-part class action suit against Robinhood and others over their roles in January’s GameStop trading frenzy.
2021-11-11,The sales so far were considerably short of the $20 billion worth he promised over the weekend that he would sell.
2021-11-29,"After tumbling on Friday, the S&P 500 gained more than 1 percent. Oil prices and bond yields also rose."
2021-12-01,"Investors are considering the risk of a new variant of the coronavirus, and its potential impact on the global economy, and are grappling with a shifting outlook for interest rates."
2021-11-29,Investors are re-pricing the risks of the latest coronavirus variant.
2021-11-26,"Historians say the Philadelphia police took to calling the day before the annual Army-Navy football game Black Friday because officers had to work long hours and deal with bad traffic, bad weather and other miseries."
2021-11-11,The second-most populous country is enjoying some of the world’s strongest stock market returns. Pro-growth policies and gnawing questions about China have helped.
2021-11-14,First G.E. and then J&J decide to split up their businesses. Inflation is rising. And the Biden administration's vaccine mandate faces court challenges.
2021-12-10,The speed and depth of the decline in BuzzFeed’s stock may in part be because there is a small number of shares available to trade.
2021-12-07,"Pandemic-driven declines don’t last as long as before, and are followed by recoveries to new highs. The dip after Omicron is following a similar pattern."
2021-12-06,They are eyeing BuzzFeed’s market performance as they face a tough advertising climate and look for ways to pay back their early investors.
2021-12-17,"The Omicron outbreak, inflation and monetary tightening are shaking emerging markets. Yet our columnist says it’s risky for long-term investors to shun them."
2021-12-05,"With much unknown about Omicron, President Biden announced travel restrictions and the stock market fell. Plus, the F.T.C. blocked a major chip deal."
2021-12-09,"The last time the S&P 500 had a negative real earnings yield, analysts said, was in 2000, before the tech bubble burst."
2021-12-31,Shares soared as interest rates stayed low and stimulus programs helped the economy. But expected changes could make investors wary.
2021-12-03,"With plenty of its own money and a greater desire to control the private sector, Beijing is pushing its companies to tap investors closer to home."
2021-12-20,The S&P 500 fell amid grim forecasts about the Omicron variant and a setback in efforts to pass a comprehensive domestic policy bill.
2021-12-03,"The emergence of the Omicron variant underlines the difficulty of planning even a few weeks ahead. Wall Street is forecasting next year’s precise market returns, regardless."
2022-01-25,"A sell-off pushed the S&P 500 to correction territory, a threshold that signals investors have turned pessimistic about stocks."
2022-01-13,"The firm, which was valued at $9 billion in its I.P.O., must convince investors that it can compete with its publicly traded rivals."
2022-01-26,Wild swings in stocks haven’t shown up in other assets.
2022-01-04,The iPhone maker’s value tripled since 2018 as its sales continued to soar and it spent hundreds of billions of dollars on its own stock.
2022-01-25,"The S&P 500 slid into correction territory before rallying, and signals on Wall Street show that investors have become markedly more pessimistic."
2022-01-26,Here’s what you need to know at the end of the day.
2022-01-25,"Stocks recovered after a sharp drop, but they are looking shaky again."
2022-01-21,"Stocks and bonds are core investments. Now, Vanguard is suggesting that retirees willing and able to bear the risk may want a stock target of 50 percent."
2022-02-01,Here's what you need to know about the recent market volatility.
2022-01-27,"A year later, many issues linger for the trading app at the center of the frenzy."
2022-02-05,"The stock market has begun swinging wildly as companies like Google, Facebook, Apple, Starbucks and Exxon Mobil reveal their earnings and hint at divergent prospects for the year ahead."
2022-02-24,"Whether you call it a correction or a panic attack, a stock market that was already becoming shaky has been roiled by Russia’s hostilities toward Ukraine."
2022-02-10,The agency is proposing to cut in half the time required to complete stock trades.
2022-02-24,"Stocks in Europe were sharply lower, but the S&P 500 rebounded after an early decline. Energy markets swung wildly, and shares in Moscow collapsed."
2022-03-02,Military conflicts have not been a major factor in market movements for decades. But Russia’s invasion of Ukraine has put global relations back on investors’ minds.
2022-02-10,"A bipartisan push is growing to bar members of Congress from trading individual stocks, an effort pushed by vulnerable lawmakers eager to take on perceived corruption in Washington."
2022-02-01,Here's what you need to know about the recent market volatility.
2022-02-17,"Amazon, Apple, Google and Microsoft are expanding their reach over the rest of the economy."
2022-02-04,Meta’s earnings led to a wild swing in stocks. The latest jobs numbers might trigger another.
2022-02-16,New Jersey’s cannabis law was partly designed to remedy wrongs in a criminal justice system that disproportionately ensnares Black and Latino people. But the hurdles for small-business owners are high.
2022-03-24,"The market opened for the first time since Feb. 25, and the MOEX index was probably pushed up by measures designed to avoid a sell-off."
2022-03-26,"Trading has resumed after the market closed for a month, but it’s not business as usual."
2022-03-25,"The usually sedate bond market has been unsettled by worries about inflation, the Federal Reserve’s interest rate increases and even the possibility of a recession."
2022-03-03,"Eugene F. Fama, the father of the efficient-markets theory, says the stock market can’t easily process “irrational” behavior. What will happen? “Who knows?” he says."
2022-03-18,The chaos in trading of the metal could have broad implications.
2022-03-10,The price of gasoline is climbing and the markets are adjusting to gloomier prospects as the war in Ukraine grinds on.
2022-03-28,Proposed new limits come as corporations may spend $1 trillion on stock repurchases this year.
2022-03-22,The S.E.C. has proposed sweeping new rules on company climate disclosures.
2022-03-11,"The company said it expected to produce only 25,000 electric vehicles this year, adding a new cloud to its outlook only months after a hot I.P.O."
2022-03-06,"U.S. employers added 678,000 jobs in February, a strong gain. President Biden unveiled a new coronavirus defense strategy. And we’re about to hear how much prices rose in February."
2022-04-22,"These months are historically the weakest for the market in a presidential term. Aside from coincidence, there are several possible explanations."
2022-04-27,"Tesla is highly traded, and Elon Musk’s sale of more than $16 billion worth of stock last year did not appear to push share prices lower."
2022-04-27,"This year’s decline in stock prices follows a historical pattern: “When unemployment is ultra low, the uppity times are behind us,” a bank research chief said."
2022-04-27,"She published her stock market newsletter for nearly four decades — initially as “G. Weiss,” to conceal her identity as a woman in a male-dominated industry."
2022-04-30,"Shares in Apple, Amazon, Google, Facebook and Microsoft have all fallen this year, but Netflix has come in for the harshest punishment."
2022-05-01,"Rarely have so many Americans gained so much equity in so little time, but it’s also inseparable from the housing affordability crisis."
2022-04-09,"After falling sharply for weeks, the stock market recovered much of its lost ground, though bonds have kept falling. With major risks unresolved, there may well be worse to come."
2022-04-16,"Stocks, bonds and commodities are already pricing in inflation, the pandemic and war."
2022-04-08,Who was behind the surge of trading in wheat futures last month? Some point to a group of Reddit users who mobbed an E.T.F. offering exposure to the wheat market.
2022-04-02,"Ned Johnson, the longtime leader of Fidelity, changed the way the middle class thought about its money."
2022-05-14,"The market has been producing double-digit returns for investors, even at moments of great national strife. But the party has ended and it may be a long time before it begins again."
2022-05-09,"The financial markets are coming to grips with the Federal Reserve’s policy change, as geopolitical factors complicate the outlook for the global economy."
2022-05-21,Production problems in China and Elon Musk’s pursuit of Twitter are leading investors to wonder whether the electric car company is worth as much as they thought.
2022-05-26,"As president of the Federal Reserve Bank of New York, he favored flooding the financial system with cash to restore confidence among investors."
2022-05-07,"Head-spinning volatility in financial markets isn’t all that puzzling when you consider the problems the Federal Reserve is grappling with, our columnist says."
2022-05-24,Have you been paying attention to the news recently? See how many of these 10 questions you can get right.
2022-05-21,"Flush with cash, Facebook, Apple, Amazon, Microsoft and Google are positioned to emerge from a downturn stronger and more powerful. As usual."
2022-05-09,"New data from China is adding to worries over high inflation, rising interest rates and supply chain disruptions."
2022-05-10,"Stocks reach bear market territory when they fall 20 percent from their last peak, a sign that investors are pessimistic about the state of the economy."
2022-05-26,"Jeff Sommer, who writes the Strategies column on the markets, finance and the economy for The Times, discusses how he reports on a subject that investors are worried about."
2022-06-03,"If you want to make money in the market but also be a responsible citizen in a warming world, you’re in a tough spot. But there are some promising options, our columnist says."
2022-06-14,"Steep downturns of stocks by 20 percent or more are relatively rare, but how long they last could portend damage — for you and the economy."
2022-06-14,History shows that the U.S. stock market has always recovered from declines in the past.
2022-06-15,"Venture capital is sounding the alarm, but economists say the broader impacts are likely less dire."
2022-06-30,"At the halfway point of the year, it’s been a historically horrible time for stocks. Bonds are in bad shape, too."
2022-06-14,"From the Great Depression to the 2008 financial crisis, here are some examples of past bear markets. "
2022-06-24,"The immediate outlook is grim, but low-cost funds that track the entire market can help you prosper over the long term, our columnist says."
2022-06-10,"The data suggested that policymakers would need to take aggressive steps to cool the economy, spooking investors."
2022-06-13,"The S&P has declined 22 percent since January, amid converging worries about inflation, the Ukraine war, Covid and the Fed’s response to the economy."
2022-06-13,"There have been several instances of near-bear markets in recent decades, but it’s rare for them to hit the threshold."
2022-07-22,"Amid rising inflation and the threat of recession, corporate earnings are coming under pressure."
2022-07-15,But Russia’s war in Ukraine creates uncertainty about where energy funds will go in the second half of the year.
2022-07-15,"Further losses may be on the way, even after a 20 percent drop in the first half of the year, as Wall Street continues to price in the Fed’s aggressive interest rate policy."
2022-07-03,The stock market had its worst first six months of a year since 1970. The Supreme Court dealt a blow to Biden’s climate plans. And the June jobs report is coming.
2022-06-30,"At the halfway point of the year, it’s been a historically horrible time for stocks. Bonds are in bad shape, too."
2022-07-11,"Shares have lost a third of their value since April 25, when the company’s board accepted Mr. Musk’s offer."
2022-07-19,"Despite better-than-expected profit, the Wall Street giant’s leaders said they would slow hiring and review stock repurchases as the economy becomes more “uncertain.”"
2022-07-29,"Readers from around the world shared their strategies for protecting their retirement savings and how, or if, they’re adjusting their tactics."
2022-07-29,"Tech companies are slowing their frenetic hiring, but a combination of dominance and diversity is turning out to be — yet again — an overwhelming asset."
2022-07-16,"In their latest financial reports, Wells Fargo showed signs of trouble but Citigroup revealed results that were better than expected."
2022-08-26,"The bear market endures, yet the S&P 500 index rose more than 17 percent from mid-June to mid-August. Don’t even try to guess what will happen next, our columnist says."
2022-08-23,The company billed the arrangement as a new way to raise money. Corporate governance experts and finance pros are keen to see if it catches on.
2022-08-13,"Companies have been criticized for the vast sums they are sending investors. Some of that money could be put to better use but for the most part, our columnist says, bring it on."
2022-08-23,"After Monday’s steep drop on Wall Street, investors around the world are reassessing the outlook for inflation, economic growth and interest rates."
2022-08-13,"The companies, collectively worth hundreds of billions of dollars, issued a flurry of statements amid tensions between Beijing and Washington over regulation and broader political issues."
2022-08-07,Elon Musk countersues Twitter. The Walt Disney Company’s bold subscriber ambitions may get a check in its quarterly earnings report. And the latest inflation number comes out.
2022-08-20,"Turbulent trading in shares of companies like AMC Entertainment and Bed Bath & Beyond can no longer be explained as simply a pandemic phenomenon, experts say."
2022-08-12,"Positive economic signs have sent the S&P 500 higher for four consecutive weeks, but some investors worry about how long the rally can last."
2022-08-23,A slowdown in consumer spending in conjunction with an uptick in construction may spoil the favorable conditions that allowed owners to expand and raise rates.
2022-08-14,Disney now has more subscribers than Netflix. The Fed will share notes from its July meeting. And stocks are on the rise.
2022-09-24,"The Stoxx 600 index, which includes large companies from 17 European countries, fell 2.3 percent on Friday, pushing the index down about 21 percent from its Jan. 5 peak."
2022-09-22,"The Federal Reserve has more jumbo-size interest rises planned, stoking fears of downturns in the housing, labor and stock markets."
2022-09-24,Central banks around the world raised interest rates this week to combat inflation. That’s raising concerns among investors about an economic slump.
2022-09-13,"Stocks plunged, government bond yields soared and the dollar bounced after investors were wrong-footed by a report showing stubbornly high price increases last month."
2022-09-05,"Liz Truss, the Conservative Party’s choice, will face a falling British pound and myriad economic troubles."
2022-09-23,"The S&P 500 fell 1.7 percent, putting the index on track for a second consecutive weekly decline, and the yield on the 10-year Treasury note, a benchmark for borrowing costs, rose slightly."
2022-09-16,Pessimism is deepening as bellwether companies like FedEx and General Electric warn of worsening economic and business conditions.
2022-09-25,There’s gloom on Wall Street. JetBlue and American Airlines face an antitrust trial. And investors can begin buying shares of the luxury sports carmaker Porsche.
2022-09-16,"The rout in the stock and bond markets has been especially rough on people paying for college, retirement or a new home. Our columnist has some advice."
2022-09-23,"Stocks, bonds and the pound were jolted by policy details from the new government that entailed a huge rise in borrowing."
2022-10-18,The S&P 500 rose sharply on Monday after better-than-expected earnings at Bank of America and news of a radically revised tax plan in Britain.
2022-09-29,"Volkswagen spun off the German carmaker on the Frankfurt Stock Exchange, where its stock began trading higher despite a broader decline in European markets."
2022-10-02,Wall Street volatility continued. Tallying the costs of Hurricane Ian has just begun. And a report on the strength of the job market is coming this week.
2022-10-13,"Stocks initially tumbled, then rebounded sharply after a report that signaled the Fed would continue raising interest rates aggressively."
2022-10-18,The longstanding troubles of Credit Suisse recently grabbed the attention of amateur investors whose social media posts sparked fears that the bank was running out of money.
2022-10-15,The Wall Street firm reported lower fees and weaker revenue from trading stocks in the third quarter.
2022-10-19,"He was chairman of the New York Stock Exchange and rose to lead the venerable securities firm Kidder, Peabody, but stepped down after it was caught up in a 1980s insider-trading scandal."
2022-10-28,"With worries about the economy rising, the four-year presidential cycle for stocks may not follow the established pattern."
2022-09-30,"This has been the most devastating time for bonds since at least 1926, and maybe in centuries. But, our columnist writes, much of the damage is already behind us."
2022-10-19,Market turbulence isn’t deterring activists in the way that it once did.
2022-11-10,"Stocks like Meta, Microsoft, Amazon and Apple have suffered staggering losses this year. But is this a good time to buy? Maybe, if you’re in it for the long term, our columnist says."
2022-11-04,"After flying under the radar as academic experiments, the markets are facing close regulatory scrutiny. But they are worth preserving, our columnist says."
2022-11-12,Signs of China easing its pandemic restrictions added to investors’ bullishness about cooling inflation in the United States.
2022-11-16,Lower-than-expected data on wholesale prices and resilient earnings from retailers were welcomed by investors.
2022-10-28,"With worries about the economy rising, the four-year presidential cycle for stocks may not follow the established pattern."
2022-11-02,"The market for U.S. government bonds, called the Treasury market, offers predictions on the path for interest rates and the economy."
2022-11-10,Stocks rallied and bond yields tumbled as investors reset their expectations for the pace of interest rate increases by the Federal Reserve.
2022-10-30,Tech companies start to feel the economic pain. The Fed is poised to announce another three-quarter point increase in its benchmark rate. The jobs report is coming.
2022-11-18,Several Fed officials sought to temper investors’ enthusiasm over signs that inflation could be slowing.
2022-11-07,"The business class, which shunned politics, is now questioning if there is still a place for it in a system dominated by one ruler, Xi Jinping."
2022-12-10,Persistent pullbacks in recent sessions reflect investors’ worries about stubbornly high inflation.
2022-12-16,"Wall Street’s market forecasts for 2023 are worthless, our columnist says. But the long view is much clearer."
2022-12-15,"Twitter’s owner has now sold $23 billion worth of Tesla stock this year, much of it after he pledged in April to stop selling shares to finance his deal to acquire the social media company."
2022-12-15,"Stock prices rose in early trading on Wednesday, as investors prepared for the Federal Reserve to begin reducing the size of its interest rate increases that have weighed on the market."
2022-12-16,Wall Street has been wary of the effects that central bankers’ determination to fight inflation could have on the economy.
2022-12-15,"The conspirators used podcasts and social media to talk up stock prices to their large followings, then sold their shares, according to court filings by the S.E.C. and the Justice Department."
2022-12-02,No actively managed stock or bond funds outperformed the market convincingly and regularly over the last five years. Index funds have generally been better.
2022-12-28,"The preliminary guidance applies to an alternative minimum tax for large corporations and a tax on stock buybacks, which helped fund President Biden’s climate and health bill."
2022-12-13,"Wall Street is expecting the Federal Reserve to slow down its interest rate increases, but the central bank’s meeting on Wednesday offers investors a reason to be cautious."
2022-11-28,Social justice joins discounted cash flows on the syllabus as essential knowledge for aspiring corporate leaders.
2022-12-30,How fast inflation and high interest rates upended markets across the globe.
2023-01-01,"The cost cutting continues at Twitter. The S&P 500 had a bad 2022, and it’s not clear if 2023 will be better. The Labor Department will report jobs numbers for December."
2023-01-06,Traders are betting that a slowdown in job growth and wage gains could reduce the pressure on prices and make the Federal Reserve less aggressive in raising interest rates.
2023-01-05,"To land the House speaker position, the California Republican will have to win over opponents who question his ties to Silicon Valley and his commitment to right wing causes."
2023-01-03,Analysts are more cautious about 2023 after their overly optimistic forecasts for last year.
2023-01-13,"Cut back on stock and bond holdings, and focus on money market funds, C.D.s, Treasury bills and other options that are now offering high yields, our columnist says."
2023-01-08,"Sam Bankman-Fried, the disgraced cryptocurrency executive, pleads not guilty to an array of charges. A bumpy road ahead for Tesla. And the latest inflation figures are coming out."
2023-01-05,"Central bankers remained committed to wrestling inflation lower, and wanted to make sure investors understood that message, minutes from the Federal Reserve’s December meeting showed."
2023-01-19,"Sam Bankman-Fried found ways to control the prices of digital coins to benefit his companies, FTX and Alameda, according to cryptocurrency investors."
2022-12-28,"The preliminary guidance applies to an alternative minimum tax for large corporations and a tax on stock buybacks, which helped fund President Biden’s climate and health bill."
2023-02-11,The steadfastness of India’s economy attests to the size and seeming strength of the country’s broader business landscape.
2023-02-19,"The nation’s growing budget deficit. Inflation is cooling, but not as quickly as expected. And the Fed will offer insights into its thinking."
2023-02-07,The struggling home goods retailer said it hoped the move would help it raise more than $1 billion and pay off its debts.
2023-02-17,"Exuberance in financial markets is likely to only strengthen the Federal Reserve’s resolve and shake up those very markets, our columnist says."
2023-01-29,Data shows that the U.S. economy has been largely resilient. The Fed may slow its rate increases. And the jobs report is expected to show solid gains.
2023-02-05,Jobs numbers soared far past analysts’ forecasts. Meta’s stock price surged. And Robert Iger faces a major test as Disney reports its first quarterly earnings since he returned as C.E.O.
2023-02-17,"After stocks jumped more than 6 percent in January, the tone shifted markedly this week as a steady flow of data showed the economy continued to run hot."
2023-02-01,Recent stock gains have been driven by hope that a rate-raising cycle may be over. The Fed keeps telling investors that it’s not.
2023-01-31,Gautam Adani is facing perhaps his biggest challenge yet as a small U.S. investment firm accuses his Indian conglomerate of fraud and stock manipulation.
2023-02-14,The prospect of a drop in the pace of inflation has recently lifted hopes that the Federal Reserve will soon stop increasing interest rates.
2023-03-17,"Stocks, bonds and commodities markets are all sending different signals. Although the S&P 500 rose this week, oil prices fell along with bond yields, signaling that investors are worried about the economy."
2023-03-09,"The central bank’s success or failure will affect your wallet and, maybe, the next election, our columnist says."
2023-03-14,"Across the country, banks of various sizes are battling market turmoil as customers rushed to withdraw their deposits and investors, worried about more bank runs, dumped bank stocks."
2023-03-10,The collapse of Silicon Valley Bank added to worries about the economy. The S&P 500 suffered its sharpest weekly decline of the year.
2023-03-21,"Relief over recent financial rescue measures pushed stocks up for a second day, as investors prepared for a pivotal decision from the Federal Reserve on interest rates."
2023-03-17,"The S&P 500 jumped, along with shares of First Republic Bank and other regional lenders."
